module,type,name,res_id,src,value,comments
account,model,"mail.template,body_html",account.email_template_edi_invoice,"
<p style=""margin:0px 0px 9px 0px;font-size:13px;font-family:&quot;Lucida Grande&quot;, Helvetica, Verdana, Arial, sans-serif;"">Yang Terhormat ${object.partner_id.name}
% set access_action = object.get_access_action()
% set access_url = access_action['type'] == 'ir.actions.act_url' and access_action['url'] or '/report/pdf/account.report_invoice/' + str(object.id)
% set is_online = access_action and access_action['type'] == 'ir.actions.act_url'

% if object.partner_id.parent_id:
    (<i>${object.partner_id.parent_id.name}</i>)
% endif
,</p>
<p style=""margin:0px 0px 9px 0px;font-size:13px;font-family:&quot;Lucida Grande&quot;, Helvetica, Verdana, Arial, sans-serif;"">Tagihan Anda <strong style=""font-weight:bold;"">${object.number}</strong>
% if object.origin:
(berdasarkan: ${object.origin} )
% endif
sebesar <strong style=""font-weight:bold;"">${object.amount_total} ${object.currency_id.name}</strong>
dari ${object.company_id.name}.
</p>

% if is_online:
    <br><br>
    <center>
      <a href=""${access_url}"" style=""text-decoration:none;color:rgb(124, 123, 173);background-color: #1abc9c; padding: 20px; text-decoration: none; color: #fff; border-radius: 5px; font-size: 16px;"" class=""o_default_snippet_text"">Lihat Tagihan</a>
    </center>
% endif
    <br><br>

% if object.state=='paid':
    <p style=""margin:0px 0px 9px 0px;font-size:13px;font-family:&quot;Lucida Grande&quot;, Helvetica, Verdana, Arial, sans-serif;"">Tagihan sudah dibayar.</p>
% else:
    <p style=""margin:0px 0px 9px 0px;font-size:13px;font-family:&quot;Lucida Grande&quot;, Helvetica, Verdana, Arial, sans-serif;"">Silahkan lakukan pembayaran secepatnya. Setelah melakukan pembayaran harap konfirmasi melalui Whatsapp dengan format:&nbsp;</p><p style=""margin:0px 0px 9px 0px;font-size:13px;font-family:&quot;Lucida Grande&quot;, Helvetica, Verdana, Arial, sans-serif;"">#${object.origin}&lt;spasi&gt;Nama pemilik rekening&lt;spasi&gt;ke BCA/Mandiri&lt;spasi&gt;<strong style=""font-weight:bold;"">${object.amount_total}</strong>.</p>
% endif

<p style=""margin:0px 0px 9px 0px;font-size:13px;font-family:&quot;Lucida Grande&quot;, Helvetica, Verdana, Arial, sans-serif;"">Terima kasih,</p>
% if object.user_id and object.user_id.signature:
    ${object.user_id.signature | safe}
% endif
","
<p style=""margin:0px 0px 9px 0px;font-size:13px;font-family:&quot;Lucida Grande&quot;, Helvetica, Verdana, Arial, sans-serif;"">Yang Terhormat ${object.partner_id.name}
% set access_action = object.get_access_action()
% set access_url = access_action['type'] == 'ir.actions.act_url' and access_action['url'] or '/report/pdf/account.report_invoice/' + str(object.id)
% set is_online = access_action and access_action['type'] == 'ir.actions.act_url'

% if object.partner_id.parent_id:
    (<i>${object.partner_id.parent_id.name}</i>)
% endif
,</p>
<p style=""margin:0px 0px 9px 0px;font-size:13px;font-family:&quot;Lucida Grande&quot;, Helvetica, Verdana, Arial, sans-serif;"">Tagihan Anda <strong style=""font-weight:bold;"">${object.number}</strong>
% if object.origin:
(berdasarkan: ${object.origin} )
% endif
sebesar <strong style=""font-weight:bold;"">${object.amount_total} ${object.currency_id.name}</strong>
dari ${object.company_id.name}.
</p>

% if is_online:
    <br><br>
    <center>
      <a href=""${access_url}"" style=""text-decoration:none;color:rgb(124, 123, 173);background-color: #1abc9c; padding: 20px; text-decoration: none; color: #fff; border-radius: 5px; font-size: 16px;"" class=""o_default_snippet_text"">Lihat Tagihan</a>
    </center>
% endif
    <br><br>

% if object.state=='paid':
    <p style=""margin:0px 0px 9px 0px;font-size:13px;font-family:&quot;Lucida Grande&quot;, Helvetica, Verdana, Arial, sans-serif;"">Tagihan sudah dibayar.</p>
% else:
    <p style=""margin:0px 0px 9px 0px;font-size:13px;font-family:&quot;Lucida Grande&quot;, Helvetica, Verdana, Arial, sans-serif;"">Silahkan lakukan pembayaran secepatnya. Setelah melakukan pembayaran harap konfirmasi melalui Whatsapp dengan format:&nbsp;</p><p style=""margin:0px 0px 9px 0px;font-size:13px;font-family:&quot;Lucida Grande&quot;, Helvetica, Verdana, Arial, sans-serif;"">#${object.origin}&lt;spasi&gt;Nama pemilik rekening&lt;spasi&gt;ke BCA/Mandiri&lt;spasi&gt;<strong style=""font-weight:bold;"">${object.amount_total}</strong>.</p>
% endif

<p style=""margin:0px 0px 9px 0px;font-size:13px;font-family:&quot;Lucida Grande&quot;, Helvetica, Verdana, Arial, sans-serif;"">Terima kasih,</p>
% if object.user_id and object.user_id.signature:
    ${object.user_id.signature | safe}
% endif
",
account,model,"ir.model.fields,help",account.field_account_invoice_state," * The 'Draft' status is used when a user is encoding a new and unconfirmed Invoice.
 * The 'Pro-forma' status is used when the invoice does not have an invoice number.
 * The 'Open' status is used when user creates invoice, an invoice number is generated. It stays in the open status till the user pays the invoice.
 * The 'Paid' status is set automatically when the invoice is paid. Its related journal entries may or may not be reconciled.
 * The 'Cancelled' status is used when user cancel invoice.","* Status 'Rancangan' digunakan ketika pengguna membuat faktur baru yang belum dikonfirmasi.
 * Status 'Pro-forma' digunakan ketika tagihan tidak memiliki nomor tagihan.
 * Status 'Terbuka' digunakan ketika pengguna membuat tagihan; dan nomor faktur dikeluarkan. Statusnya terbuka sampai pengguna membayarnya.
 * Status 'Lunas' aktif secara otomatis setelah faktur dibayar. Ayat jurnal terkait bisa direkonsiliasi, bisa juga tidak.
 * Status 'Dibatalkan' digunakan ketika pengguna membatalkan faktur.",
account,code,addons/account/static/src/js/account_reconciliation_widgets.js,1529, seconds,detik,openerp-web
account,model,"ir.model.fields,field_description",account.field_account_chart_template_code_digits,# of Digits,# Dari Digit,
account,model,"ir.model.fields,field_description",account.field_wizard_multi_charts_accounts_code_digits,# of Digits,# Dari Digit,
account,model,"ir.model.fields,field_description",account.field_account_config_settings_code_digits,# of Digits *,# dari Digit *,
account,model,"ir.model.fields,field_description",account.field_account_invoice_report_nbr,# of Lines,# Baris,
account,model,"ir.model.fields,field_description",account.field_account_move_line_reconcile_trans_nbr,# of Transaction,# transaksi,
account,model,"mail.template,subject",account.email_template_edi_invoice,${object.company_id.name} Invoice (Ref ${object.number or 'n/a'}),${object.company_id.name} Tagihan (Ref ${object.number or 'n/a'}),
account,model,"mail.template,subject",account.mail_template_data_notification_email_account_invoice,${object.subject},${object.subject},
