module,type,name,res_id,src,value,comments
website_sale,model,"ir.ui.view,arch_db",website_sale.payment_token_form_confirm,! Some processing fees will be applied,! Akan dikenakan biaya tambahan,
website_sale,model,"ir.ui.view,arch_db",website_sale.payment,(processing fees apply),(biaya pemrosesan berlaku),
website_sale,model,"ir.ui.view,arch_db",website_sale.product,"30-day money-back guarantee<br/>
                              Free Shipping in U.S.<br/>
                              Buy now, get in 2 days","Jaminan uang kembali 30 hari<br/>
                              Gratis Pengiriman di A.S.<br/>
                              Beli sekarang, dapatkan dalam 2 hari ",
website_sale,model,"ir.ui.view,arch_db",website_sale.report_shop_saleorder_document,"<br/>
                                <strong>Payment Status:</strong>","<br/>
<strong>Status Pembayaran:</strong>",
website_sale,model,"ir.ui.view,arch_db",website_sale.website_planner,"<br/>
                                e.g. for computers:","<br/>
                                misalnya untuk komputer: ",
website_sale,model,"ir.ui.view,arch_db",website_sale.payment_token_form_confirm,"<i class=""fa fa-3x fa-credit-card text-muted"" aria-hidden=""true""/><br/>
                                                Are you sure you want to pay with this card: <br/>","<i class=""fa fa-3x fa-credit-card text-muted"" aria-hidden=""true""/><br/>
                                                Yakin ingin membayar dengan kartu ini: <br/>",
website_sale,model,"ir.ui.view,arch_db",website_sale.address_kanban,"<i class=""fa fa-check""/> Ship to this address","<i class=""fa fa-check""/> Kirim ke Alamat ini",
website_sale,model,"ir.ui.view,arch_db",website_sale.order_state_message,"<i class=""fa fa-cog""/> Configure Transfer Details","<i class=""fa fa-cog""/> Konfigurasikan Detail Transfer ",
website_sale,model,"ir.ui.view,arch_db",website_sale.website_planner,"<i class=""fa fa-envelope-o""/> Ask Our Experts","<i class=""fa fa-envelope-o""/> Tanyakan Pada Ahli Kami",
website_sale,model,"ir.ui.view,arch_db",website_sale.checkout,"<i class=""fa fa-plus-square"" aria-hidden=""true""/> Add an address","<i class=""fa fa-plus-square"" aria-hidden=""true""/> Tambahkan alamat ",
website_sale,model,"ir.ui.view,arch_db",website_sale.confirmation,"<i class=""fa fa-print""/> Print","<i class=""fa fa-print""/> Cetak",
website_sale,model,"ir.ui.view,arch_db",website_sale.header,"<i class=""fa fa-shopping-cart""/>
                    My cart","<i class=""fa fa-shopping-cart""/>
                    Keranjang saya",
website_sale,model,"ir.ui.view,arch_db",website_sale.terms,"<small class=""text-muted pull-right"">Source: https://termsfeed.com/blog/sample-terms-and-conditions-template</small>","<small class=""text-muted pull-right"">Source: https://termsfeed.com/blog/sample-terms-and-conditions-template</small>",
website_sale,model,"ir.ui.view,arch_db",website_sale.cart_lines,"<small><i class=""fa fa-trash-o""/> Remove</small>","<small><i class=""fa fa-trash-o""/> Hapus</small>",
website_sale,model,"ir.ui.view,arch_db",website_sale.extra_info,"<span class=""btn btn-primary pull-right btn-lg o_website_form_send o_default_snippet_text"">
                                    <span>Next </span><span class=""fa fa-long-arrow-right""/>
                                </span>
                                <span id=""o_website_form_result"" class=""text-danger ml8""/>","<span class=""btn btn-primary pull-right btn-lg o_website_form_send o_default_snippet_text"">
                                    <span>Lanjut </span><span class=""fa fa-long-arrow-right""/>
                                </span>
                                <span id=""o_website_form_result"" class=""text-danger ml8""/>",
website_sale,model,"ir.ui.view,arch_db",website_sale.total,"<span class=""col-xs-6 text-right h4"">Total:</span>","<span class=""col-xs-6 text-right h4"">Total:</span>",
website_sale,model,"ir.ui.view,arch_db",website_sale.total,"<span class=""col-xs-6 text-right text-muted"" title=""Taxes may be updated after providing shipping address""> Taxes:</span>","<span class=""col-xs-6 text-right text-muted"" title="" Pajak dapat diperbarui setelah memberikan alamat pengiriman ""> Pajak:</span>",
website_sale,model,"ir.ui.view,arch_db",website_sale.total,"<span class=""col-xs-6 text-right text-muted"">Subtotal:</span>","<span class=""col-xs-6 text-right text-muted"">Subtotal:</span>",
website_sale,model,"ir.ui.view,arch_db",website_sale.payment,"<span class=""fa fa-2x fa-credit-card""/>
                                                Saved Cards","<span class=""fa fa-2x fa-credit-card""/>
                                                Kartu Tersimpan ",
website_sale,model,"ir.ui.view,arch_db",website_sale.product,"<span class=""fa fa-check""/>
                                <span>In Stock</span>","<span class=""fa fa-check""/>
                                <span>Persediaan</span>",
website_sale,model,"ir.ui.view,arch_db",website_sale.product,"<span class=""fa fa-chevron-left"" aria-hidden=""true""/>
                                            <span class=""sr-only"">Previous</span>","<span class=""fa fa-chevron-left"" aria-hidden=""true""/>
                                            <span class=""sr-only"">sebelumnya</span>",
website_sale,model,"ir.ui.view,arch_db",website_sale.product,"<span class=""fa fa-chevron-right"" aria-hidden=""true""/>
                                            <span class=""sr-only"">Next</span>","<span class=""fa fa-chevron-right"" aria-hidden=""true""/>
                                            <span class=""sr-only"">selanjutnya</span>",
